id;data;numero_chamada;ano_lectivo;fotografia;certificado;documento_identificacao;resenciamento_militar;documento_saude;ficha_transferencia;historico_escolar;observacao;confirmacao;periodo_lectivo;turma;curso;turno;sala;classe;aluno_id;categoria_id
1;2020-01-25T21:13:42;17122;87408;false;true;true;true;true;false;false;../fake-data/blob/hipster.txt;true;USB;Checking Account Central bluetooth;Electronics;Tools;66302;45688;1;1
2;2020-01-26T02:25:51;21965;68464;false;false;true;true;true;false;true;../fake-data/blob/hipster.txt;true;Intelligent;Agent Technician;Auto Loan Account;Car;62825;51857;2;2
3;2020-01-26T06:04:48;19179;51900;true;true;false;true;false;true;true;../fake-data/blob/hipster.txt;true;Loop dynamic matrix;Product payment Licensed;feed;grow infrastructures;43107;16490;3;3
4;2020-01-26T01:45:21;56890;27134;false;false;true;false;false;true;true;../fake-data/blob/hipster.txt;true;Gorgeous Steel Fish;Electronics;Moroccan Dirham;Marketing;65089;97379;4;4
5;2020-01-26T04:50:15;13862;24723;false;true;true;true;true;false;true;../fake-data/blob/hipster.txt;false;gold;transmitting Wooden Assistant;Ghana;Licensed Frozen Mouse Dong quantifying;95520;95959;5;5
6;2020-01-26T04:20:35;9821;56562;false;true;true;true;true;false;true;../fake-data/blob/hipster.txt;true;RSS Meadows;Fresh synthesize utilisation;programming;compress Rustic Fresh Cheese Gorgeous;73924;86178;6;6
7;2020-01-25T22:46:04;83799;75571;false;false;false;false;false;true;true;../fake-data/blob/hipster.txt;true;deposit Cedi;morph;Solutions database;multi-byte Jewelery;94563;62483;7;7
8;2020-01-26T05:30:44;36475;33536;false;false;false;true;false;false;false;../fake-data/blob/hipster.txt;false;Fords;Senior Ergonomic Palestinian Territory;Afghanistan synthesize port;Investment Account;89440;98284;8;8
9;2020-01-25T18:25:35;70887;39171;true;false;true;false;false;false;false;../fake-data/blob/hipster.txt;true;Corporate;maximize;Director;Practical Steel Sausages;97976;1954;9;9
10;2020-01-26T14:06:54;62584;28649;true;true;true;false;false;false;false;../fake-data/blob/hipster.txt;true;Equatorial Guinea parsing Director;Ergonomic;Architect 4th generation extend;24/7 open-source;7471;60515;10;10
